dataset_id	k	seed	component	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	fdr
GSE163211	2	1	endotype_1	OR_per_1SD	1.5230239044905	1.1986839339746547	1.9351238036185556	0.000574764399939082	318	82	0.0009397139396103929
GSE163211	2	1	endotype_2	OR_per_1SD	0.6585286750067091	0.5183181990452409	0.8366675463159654	0.0006264759597378483	318	82	0.0009397139396103929
GSE163211	2	2	endotype_1	OR_per_1SD	1.523023904490508	1.1986839339746609	1.9351238036185663	0.0005747643999389938	318	82	0.0009397139396103929
GSE163211	2	2	endotype_2	OR_per_1SD	0.658528675006705	0.5183181990452376	0.8366675463159604	0.000626475959737735	318	82	0.0009397139396103929
GSE163211	2	3	endotype_1	OR_per_1SD	1.5230239044904912	1.1986839339746478	1.9351238036185445	0.0005747643999391847	318	82	0.0009397139396103929
GSE163211	2	3	endotype_2	OR_per_1SD	0.6585286750067137	0.5183181990452447	0.8366675463159712	0.0006264759597379757	318	82	0.0009397139396103929
GSE163211	2	4	endotype_1	OR_per_1SD	1.5230239044905007	1.1986839339746553	1.9351238036185567	0.000574764399939075	318	82	0.0009397139396103929
GSE163211	2	4	endotype_2	OR_per_1SD	0.658528675006709	0.5183181990452408	0.8366675463159652	0.0006264759597378422	318	82	0.0009397139396103929
GSE163211	2	5	endotype_1	OR_per_1SD	1.5230239044903255	1.19868393397452	1.9351238036183296	0.0005747643999410063	318	82	0.0009397139396103929
GSE163211	2	5	endotype_2	OR_per_1SD	0.6585286750067962	0.5183181990453108	0.8366675463160741	0.0006264759597402619	318	82	0.0009397139396103929
GSE163211	3	1	endotype_1	OR_per_1SD	1.6168579725614043	1.2502483037614225	2.0909684064920215	0.0002498968689546708	318	82	0.0005622679993120492
GSE163211	3	1	endotype_2	OR_per_1SD	0.9424768457299633	0.7344900936488008	1.2093595440128933	0.6414220413262444	318	82	0.6414220913527495
GSE163211	3	1	endotype_3	OR_per_1SD	0.8199937086457296	0.640085073625736	1.0504692421740967	0.11632419413978402	318	82	0.1308647226261424
GSE163211	3	2	endotype_1	OR_per_1SD	1.6168579724048902	1.2502483041269905	2.090968405475813	0.00024989686426563285	318	82	0.0005622679993120492
GSE163211	3	2	endotype_2	OR_per_1SD	0.942476852053675	0.7344900983703632	1.2093595524675171	0.6414220794612002	318	82	0.6414220913527495
GSE163211	3	2	endotype_3	OR_per_1SD	0.8199937090124984	0.6400850739450983	1.0504692425896913	0.11632419488654121	318	82	0.1308647226261424
GSE163211	3	3	endotype_1	OR_per_1SD	1.616857974474643	1.2502483056321407	2.0909684083118667	0.000249896855803868	318	82	0.0005622679993120492
GSE163211	3	3	endotype_2	OR_per_1SD	0.9424768540308646	0.7344900998641062	1.209359555082172	0.6414220913527495	318	82	0.6414220913527495
GSE163211	3	3	endotype_3	OR_per_1SD	0.8199937067595302	0.6400850721803787	1.0504692397134239	0.11632418984562706	318	82	0.1308647226261424
GSE163211	3	4	endotype_1	OR_per_1SD	1.6168579653839465	1.2502482994158535	2.090968395195536	0.00024989688858313296	318	82	0.0005622679993120492
GSE163211	3	4	endotype_2	OR_per_1SD	0.9424768371433269	0.7344900872146676	1.2093595325706266	0.6414219895866093	318	82	0.6414220913527495
GSE163211	3	4	endotype_3	OR_per_1SD	0.8199937079630247	0.6400850732103255	1.0504692411066583	0.11632419233742552	318	82	0.1308647226261424
GSE163211	3	5	endotype_1	OR_per_1SD	1.6168579707608535	1.250248303195548	2.090968402781363	0.0002498968680509393	318	82	0.0005622679993120492
GSE163211	3	5	endotype_2	OR_per_1SD	0.9424768531121093	0.7344900991509813	1.2093595538985118	0.6414220858616344	318	82	0.6414220913527495
GSE163211	3	5	endotype_3	OR_per_1SD	0.819993710352807	0.640085074992997	1.0504692443040005	0.11632419788990436	318	82	0.1308647226261424
GSE163211	4	1	endotype_1	OR_per_1SD	1.6081892299852714	1.254162779518024	2.062150656738934	0.00018023698124249428	318	82	0.0005407109437274829
GSE163211	4	1	endotype_2	OR_per_1SD	1.3952548367044069	1.0845763130276433	1.7949276929279792	0.009548778445325801	318	82	0.01227710571592292
GSE163211	4	1	endotype_3	OR_per_1SD	2.744434784315558	2.0565545332898902	3.662398523083312	6.9935382887583395e-12	318	82	6.294245901193996e-11
GSE163211	4	1	endotype_4	OR_per_1SD	0.42335838671383674	0.3229869763856873	0.5549212095379241	4.797210480025185e-10	318	82	2.158762595678553e-09
GSE163211	4	2	endotype_1	OR_per_1SD	1.6081892463684415	1.2541627892092677	2.0621506828198157	0.00018023695019163998	318	82	0.0005407109437274829
GSE163211	4	2	endotype_2	OR_per_1SD	1.395254645263239	1.0845761647268108	1.794927445799993	0.009548807941745568	318	82	0.01227710571592292
GSE163211	4	2	endotype_3	OR_per_1SD	2.744435189402062	2.0565547806639874	3.662399163710361	6.9935209940037395e-12	318	82	6.294245901193996e-11
GSE163211	4	2	endotype_4	OR_per_1SD	0.423358355538123	0.32298694830632024	0.554921176053096	4.797203520109904e-10	318	82	2.158762595678553e-09
GSE163211	4	3	endotype_1	OR_per_1SD	1.6081897141160006	1.254163120536301	2.0621513376047687	0.0001802355925618645	318	82	0.0005407109437274829
GSE163211	4	3	endotype_2	OR_per_1SD	1.3952542933552985	1.0845759003275082	1.7949269779445955	0.009548860001273382	318	82	0.01227710571592292
GSE163211	4	3	endotype_3	OR_per_1SD	2.7444338308126985	2.0565539022886457	3.662397101932186	6.993606556882218e-12	318	82	6.294245901193996e-11
GSE163211	4	3	endotype_4	OR_per_1SD	0.423358481181552	0.3229870529178942	0.5549213256975745	4.797250212619006e-10	318	82	2.158762595678553e-09
GSE163211	4	4	endotype_1	OR_per_1SD	1.6081892850209487	1.2541628169432064	2.0621507363451896	0.00018023683494541428	318	82	0.0005407109437274829
GSE163211	4	4	endotype_2	OR_per_1SD	1.3952546566156607	1.0845761732412402	1.7949274609176546	0.009548806266277072	318	82	0.01227710571592292
GSE163211	4	4	endotype_3	OR_per_1SD	2.7444351325950245	2.056554748347038	3.6623990696458133	6.993522076952705e-12	318	82	6.294245901193996e-11
GSE163211	4	4	endotype_4	OR_per_1SD	0.42335835731121074	0.32298695005342554	0.5549211776995938	4.797203588740367e-10	318	82	2.158762595678553e-09
GSE163211	4	5	endotype_1	OR_per_1SD	1.6081893124128162	1.2541628394013336	2.062150769666678	0.00018023672909673862	318	82	0.0005407109437274829
GSE163211	4	5	endotype_2	OR_per_1SD	1.3952548401889915	1.084576316752911	1.7949276957283173	0.009548777638315376	318	82	0.01227710571592292
GSE163211	4	5	endotype_3	OR_per_1SD	2.7444343890908582	2.05655428615905	3.6623979083438627	6.9935584311033544e-12	318	82	6.294245901193996e-11
GSE163211	4	5	endotype_4	OR_per_1SD	0.42335842164786225	0.32298700619433673	0.5549212499041758	4.797221887972502e-10	318	82	2.158762595678553e-09
