atlas_dataset_id	endotype	cell_type	n_cells	n_genes_target	n_genes_found	mean_expr	mean_z	mean_pct_expr
GSE115469	endotype_1	Hepatocyte 1	1006	50	50	1.4542361994597237	0.5123416576323707	0.44882703777335986
GSE115469	endotype_1	alpha-beta T Cells	961	50	50	0.330453500611849	-0.4539964979208332	0.16905306971904266
GSE115469	endotype_1	Hepatocyte 2	909	50	50	1.2440830225558956	0.35865967599334647	0.4409240924092409
GSE115469	endotype_1	Inflammatory Macrophage	813	50	50	0.3881785930249598	-0.3999160672163499	0.19908979089790896
GSE115469	endotype_1	Hepatocyte 3	629	50	50	1.5772481716986868	0.6252165363717965	0.3552941176470588
GSE115469	endotype_1	Hepatocyte 4	603	50	50	1.5122009998154677	0.6830629411919058	0.39124378109452734
GSE115469	endotype_1	Plasma Cells	511	50	50	0.3677294447647732	-0.3946843244956484	0.1929549902152642
GSE115469	endotype_1	NK-like Cells	488	50	50	0.31656271036286826	-0.4423544875346041	0.1816393442622951
GSE115469	endotype_1	gamma-delta T Cells 1	464	50	50	0.35058246121067427	-0.39808768004586087	0.15788793103448276
GSE115469	endotype_1	Non-inflammatory Macrophage	379	50	50	0.44471542409982406	-0.2888175864382785	0.2392084432717678
GSE115469	endotype_1	Periportal LSECs	327	50	50	0.30622075010968275	-0.28302749419144435	0.2500917431192661
GSE115469	endotype_1	Central venous LSECs	306	50	50	0.35323811666930427	-0.3213152146658328	0.2227450980392157
GSE115469	endotype_1	Portal endothelial Cells	211	50	50	0.33772243003886177	-0.2010176064983319	0.2548815165876777
GSE115469	endotype_1	Hepatocyte 5	202	50	50	1.5194957281117982	0.6954561799726764	0.5086138613861386
GSE115469	endotype_1	Hepatocyte 6	152	50	50	1.484013485085023	0.39704302224258287	0.2728947368421053
GSE115469	endotype_1	Mature B Cells	129	50	50	0.2993635528725247	-0.5869196105553519	0.13953488372093023
GSE115469	endotype_1	Cholangiocytes	119	50	50	0.39426291400519736	-0.2611887905836087	0.31243697478991594
GSE115469	endotype_1	gamma-delta T Cells 2	105	50	50	0.25246358526320684	-0.4795514992112728	0.23580952380952383
GSE115469	endotype_1	Erythroid Cells	93	50	50	0.6971543371292853	-0.24072253694012846	0.16688172043010752
GSE115469	endotype_1	Hepatic Stellate Cells	37	50	50	0.4882420534862055	1.0419673089058015	0.36486486486486486
GSE115469	endotype_2	Hepatocyte 1	1006	50	49	2.400369179932533	0.9749968277969757	0.7642106544407027
GSE115469	endotype_2	alpha-beta T Cells	961	50	49	0.3526684835149067	-0.7340049924872555	0.16776741914247487
GSE115469	endotype_2	Hepatocyte 2	909	50	49	2.0067852018566836	0.6429512362135977	0.7344918165285916
GSE115469	endotype_2	Inflammatory Macrophage	813	50	49	0.49107210253991107	-0.5601218911086523	0.2206491452669629
GSE115469	endotype_2	Hepatocyte 3	629	50	49	2.5509647175252432	1.0369094688959715	0.6113039810518802
GSE115469	endotype_2	Hepatocyte 4	603	50	49	2.456075530439584	0.9708142239672588	0.6483906995634074
GSE115469	endotype_2	Plasma Cells	511	50	49	0.52193503947859	-0.5075122785945699	0.2488118535085267
GSE115469	endotype_2	NK-like Cells	488	50	49	0.3247802990880368	-0.7701883334508304	0.17597858815657408
GSE115469	endotype_2	gamma-delta T Cells 1	464	50	49	0.371022378067623	-0.7363438242128797	0.15904292751583393
GSE115469	endotype_2	Non-inflammatory Macrophage	379	50	49	0.5704427712469222	-0.49667545505040817	0.26266760002153894
GSE115469	endotype_2	Periportal LSECs	327	50	49	0.3647604142597297	-0.6380669803173113	0.26724084129064474
GSE115469	endotype_2	Central venous LSECs	306	50	49	0.35843812170522565	-0.6152256199119676	0.21942110177404292
GSE115469	endotype_2	Portal endothelial Cells	211	50	49	0.3363852653984279	-0.6789661201877855	0.2424799303607699
GSE115469	endotype_2	Hepatocyte 5	202	50	49	2.511793893144501	1.1338083697875525	0.8168316831683168
GSE115469	endotype_2	Hepatocyte 6	152	50	49	2.3648813864182197	0.8821561763313818	0.4646885069817401
GSE115469	endotype_2	Mature B Cells	129	50	49	0.3791112569837777	-0.708136393702134	0.16057585825027684
GSE115469	endotype_2	Cholangiocytes	119	50	49	0.5347178281120198	-0.5460092265071125	0.39444349168238724
GSE115469	endotype_2	gamma-delta T Cells 2	105	50	49	0.25127766471504587	-0.8087919765104654	0.23731778425655975
GSE115469	endotype_2	Erythroid Cells	93	50	49	0.8859445399324544	-0.40297482010308466	0.2078121571209129
GSE115469	endotype_2	Hepatic Stellate Cells	37	50	49	0.3686719800777614	-0.5750847181444703	0.2702702702702703
GSE115469	endotype_3	Hepatocyte 1	1006	50	50	2.4997696541400836	1.0180955413810604	0.8047713717693837
GSE115469	endotype_3	alpha-beta T Cells	961	50	50	0.3073101651501085	-0.7777825449675193	0.15995837669094692
GSE115469	endotype_3	Hepatocyte 2	909	50	50	2.092316327396661	0.7148213947169535	0.781936193619362
GSE115469	endotype_3	Inflammatory Macrophage	813	50	50	0.3598359514243195	-0.7334442798521938	0.1872570725707257
GSE115469	endotype_3	Hepatocyte 3	629	50	50	2.667360477964905	1.1877586457432208	0.6491573926868044
GSE115469	endotype_3	Hepatocyte 4	603	50	50	2.7162375054984147	1.3030427059869398	0.7310116086235489
GSE115469	endotype_3	Plasma Cells	511	50	50	0.4005579447326362	-0.7001643672678053	0.20892367906066536
GSE115469	endotype_3	NK-like Cells	488	50	50	0.2955043358978678	-0.7812525535571707	0.17438524590163934
GSE115469	endotype_3	gamma-delta T Cells 1	464	50	50	0.34314474358383956	-0.7303717344776723	0.15612068965517242
GSE115469	endotype_3	Non-inflammatory Macrophage	379	50	50	0.4160402353992563	-0.6615999232000391	0.2287071240105541
GSE115469	endotype_3	Periportal LSECs	327	50	50	0.3062825878133103	-0.7364115576552558	0.24844036697247707
GSE115469	endotype_3	Central venous LSECs	306	50	50	0.33354989474894947	-0.6577852994090702	0.21130718954248365
GSE115469	endotype_3	Portal endothelial Cells	211	50	50	0.29316561757141096	-0.754884376222555	0.2328909952606635
GSE115469	endotype_3	Hepatocyte 5	202	50	50	2.6491156981383814	1.3099744803006295	0.8733663366336635
GSE115469	endotype_3	Hepatocyte 6	152	50	50	2.3585279433899804	0.753823854010576	0.4635526315789474
GSE115469	endotype_3	Mature B Cells	129	50	50	0.31021094462206195	-0.8072033193073443	0.14651162790697675
GSE115469	endotype_3	Cholangiocytes	119	50	50	0.5041661574973278	-0.659381540731153	0.3699159663865546
GSE115469	endotype_3	gamma-delta T Cells 2	105	50	50	0.225182841082414	-0.7849807229985943	0.2163809523809524
GSE115469	endotype_3	Erythroid Cells	93	50	50	0.9152879351890215	-0.28435654192638254	0.2156989247311828
GSE115469	endotype_3	Hepatic Stellate Cells	37	50	50	0.36593501404330536	-0.5611136270031515	0.27675675675675676
